DDI-DrugBank.d599.s4|DDI-DrugBank.d599.s4.e0|DDI-DrugBank.d599.s4.e1|1|advise
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e2|DDI-DrugBank.d763.s3.e6|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e2|DDI-DrugBank.d763.s3.e7|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e3|DDI-DrugBank.d763.s3.e4|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e3|DDI-DrugBank.d763.s3.e5|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e3|DDI-DrugBank.d763.s3.e6|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e3|DDI-DrugBank.d763.s3.e7|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e4|DDI-DrugBank.d763.s3.e5|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e4|DDI-DrugBank.d763.s3.e6|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e4|DDI-DrugBank.d763.s3.e7|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e5|DDI-DrugBank.d763.s3.e6|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e5|DDI-DrugBank.d763.s3.e7|0|null
DDI-DrugBank.d763.s3|DDI-DrugBank.d763.s3.e6|DDI-DrugBank.d763.s3.e7|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e0|DDI-DrugBank.d763.s4.e1|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e0|DDI-DrugBank.d763.s4.e2|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e0|DDI-DrugBank.d763.s4.e3|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e0|DDI-DrugBank.d763.s4.e4|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e0|DDI-DrugBank.d763.s4.e5|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e0|DDI-DrugBank.d763.s4.e6|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e1|DDI-DrugBank.d763.s4.e2|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e1|DDI-DrugBank.d763.s4.e3|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e1|DDI-DrugBank.d763.s4.e4|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e1|DDI-DrugBank.d763.s4.e5|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e1|DDI-DrugBank.d763.s4.e6|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e2|DDI-DrugBank.d763.s4.e3|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e2|DDI-DrugBank.d763.s4.e4|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e2|DDI-DrugBank.d763.s4.e5|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e2|DDI-DrugBank.d763.s4.e6|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e3|DDI-DrugBank.d763.s4.e4|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e3|DDI-DrugBank.d763.s4.e5|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e3|DDI-DrugBank.d763.s4.e6|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e4|DDI-DrugBank.d763.s4.e5|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e4|DDI-DrugBank.d763.s4.e6|0|null
DDI-DrugBank.d763.s4|DDI-DrugBank.d763.s4.e5|DDI-DrugBank.d763.s4.e6|0|null
DDI-DrugBank.d763.s5|DDI-DrugBank.d763.s5.e0|DDI-DrugBank.d763.s5.e1|0|null
DDI-DrugBank.d763.s5|DDI-DrugBank.d763.s5.e0|DDI-DrugBank.d763.s5.e2|0|null
DDI-DrugBank.d763.s5|DDI-DrugBank.d763.s5.e0|DDI-DrugBank.d763.s5.e3|0|null
DDI-DrugBank.d763.s5|DDI-DrugBank.d763.s5.e1|DDI-DrugBank.d763.s5.e2|0|null
DDI-DrugBank.d763.s5|DDI-DrugBank.d763.s5.e1|DDI-DrugBank.d763.s5.e3|0|null
DDI-DrugBank.d763.s5|DDI-DrugBank.d763.s5.e2|DDI-DrugBank.d763.s5.e3|0|null
DDI-DrugBank.d763.s7|DDI-DrugBank.d763.s7.e0|DDI-DrugBank.d763.s7.e1|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e1|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e2|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e3|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e4|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e5|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e6|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e7|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e8|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e9|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e10|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e11|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e12|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e13|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e14|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e15|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e16|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e17|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e18|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e19|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e20|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e21|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e22|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e23|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e0|DDI-DrugBank.d680.s1.e24|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e2|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e3|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e4|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e5|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e6|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e7|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e8|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e9|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e10|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e11|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e12|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e13|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e14|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e15|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e16|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e17|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e18|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e19|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e20|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e21|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e22|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e23|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e1|DDI-DrugBank.d680.s1.e24|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e3|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e4|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e5|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e6|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e7|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e8|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e9|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e10|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e11|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e12|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e13|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e14|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e15|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e16|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e17|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e18|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e19|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e20|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e21|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e22|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e23|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e2|DDI-DrugBank.d680.s1.e24|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e4|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e5|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e6|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e7|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e8|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e9|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e10|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e11|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e12|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e13|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e14|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e15|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e16|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e17|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e18|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e19|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e20|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e21|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e22|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e23|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e3|DDI-DrugBank.d680.s1.e24|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e5|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e6|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e7|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e8|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e9|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e10|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e11|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e12|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e13|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e14|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e15|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e16|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e17|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e18|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e19|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e20|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e21|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e22|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e23|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e4|DDI-DrugBank.d680.s1.e24|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e6|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e7|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e8|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e9|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e10|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e11|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e12|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e13|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e14|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e15|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e16|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e17|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e18|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e19|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e20|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e21|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e22|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e23|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e5|DDI-DrugBank.d680.s1.e24|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e7|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e8|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e9|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e10|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e11|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e12|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e13|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e14|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e15|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e16|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e17|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e18|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e19|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e20|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e21|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e22|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e23|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e6|DDI-DrugBank.d680.s1.e24|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e8|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e9|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e10|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e11|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e12|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e13|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e14|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e15|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e16|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e17|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e18|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e19|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e20|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e21|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e22|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e23|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e7|DDI-DrugBank.d680.s1.e24|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e8|DDI-DrugBank.d680.s1.e9|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e8|DDI-DrugBank.d680.s1.e10|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e8|DDI-DrugBank.d680.s1.e11|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e8|DDI-DrugBank.d680.s1.e12|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e8|DDI-DrugBank.d680.s1.e13|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e8|DDI-DrugBank.d680.s1.e14|0|null
DDI-DrugBank.d680.s1|DDI-DrugBank.d680.s1.e8|DDI-DrugBank.d680.s1.e15|0|null
